BIN-ID	COUNTS	RECURSIVE-COUNTS
16.5.1.1.1.12	0	0
16.5.1.1.1.13	0	0
16.5.1.1.2	0	0
16.5.1.1.2.1	0	0
16.5.1.1.3	0	0
16.5.1.1.3.1	0	0
16.5.1.1.3.2	0	0
16.5.1.1.3.3	0	0
16.5.1.1.3.4	0	0
16.5.1.1.4	0	0
16.5.1.1.4.1	0	0
16.5.1.1.4.2	0	0
16.5.1.1.4.3	0	0
16.5.1.2	0	0
16.5.1.2.1	0	0
16.5.1.2.2	0	0
16.5.1.2.3	0	0
16.5.1.2.4	0	0
16.5.1.3	0	1
16.5.1.3.1	0	0
16.5.1.3.1.1	0	0
16.5.1.3.2	1	1
16.5.1.3.2.1	0	0
16.5.1.3.3	0	0
16.5.1.4	0	0
16.5.1.4.1	0	0
16.5.99	0	21
16.5.99.1	21	21
16.7	31	31
16.7.1001	0	0
16.8	0	105
16.8.1	5	13
16.8.1.1	0	0
16.8.1.2	0	0
16.8.1.10	0	0
16.8.1.12	1	1
16.8.1.21	7	7
16.8.1.1001	0	0
16.8.2	22	22
16.8.2.1	0	0
16.8.2.2	0	0
16.8.3	48	48
16.8.3.1	0	0
16.8.3.2	0	0
16.8.3.3	0	0
16.8.3.4	0	0
16.8.4	4	4
16.8.4.1	0	0
16.8.4.2	0	0
16.8.4.3	0	0
16.8.5	0	18
16.8.5.1	18	18
16.8.5.2	0	0
16.8.5.3	0	0
16.8.5.4	0	0
16.8.6	0	0
16.8.6.1	0	0
16.8.6.2	0	0
16.8.6.3	0	0
16.8.7	0	0
16.8.7.1	0	0
16.8.8	0	0
16.8.8.1	0	0
16.8.8.2	0	0
16.10	50	50
16.20	0	0
16.20.1001	0	0
16.20.1002	0	0
16.20.1003	0	0
16.20.1004	0	0
16.20.1005	0	0
16.20.1006	0	0
16.99	5	5
16.99.1001	0	0
16.99.1003	0	0
16.99.1004	0	0
16.99.1005	0	0
16.99.1006	0	0
16.99.1007	0	0
16.99.1008	0	0
16.99.1009	0	0
16.99.1010	0	0
16.99.1011	0	0
16.99.1012	0	0
16.99.1013	0	0
16.99.1014	0	0
16.99.1016	0	0
16.99.1017	0	0
16.99.1018	0	0
17	0	1410
17.1	0	84
17.1.1	25	44
17.1.1.1	0	19
17.1.1.1.1	2	2
17.1.1.1.10	17	17
17.1.1.1.11	0	0
17.1.1.1.12	0	0
17.1.1.2	0	0
17.1.1.2.1	0	0
17.1.1.1001	0	0
17.1.1.1002	0	0
17.1.2	17	17
17.1.3	23	23
17.2	0	374
17.2.1	21	21
17.2.1.1001	0	0
17.2.1.1002	0	0
17.2.1.1003	0	0
17.2.1.1004	0	0
17.2.1.1005	0	0
17.2.1.1006	0	0
17.2.1.1007	0	0
17.2.2	45	45
17.2.3	308	308
17.3	0	49
17.3.1	0	31
17.3.1.1	0	7
17.3.1.1.1	6	6
17.3.1.1.2	1	1
17.3.1.1.3	0	0
17.3.1.1.4	0	0
17.3.1.1.5	0	0
17.3.1.1.99	0	0
17.3.1.2	0	24
17.3.1.2.1	1	1
17.3.1.2.2	3	3
17.3.1.2.3	0	0
17.3.1.2.4	4	4
17.3.1.2.5	1	1
17.3.1.2.6	3	3
17.3.1.2.7	2	2
17.3.1.2.8	5	5
17.3.1.2.99	5	5
17.3.1.1001	0	0
17.3.1.1002	0	0
17.3.1.1003	0	0
17.3.1.1004	0	0
17.3.1.1005	0	0
17.3.1.1006	0	0
17.3.2	0	12
17.3.2.1	0	0
17.3.2.2	9	9
17.3.2.99	3	3
17.3.3	6	6
17.4	0	108
17.4.1	86	86
17.4.1.1001	0	0
17.4.1.1002	0	0
17.4.1.1003	0	0
17.4.2	22	22
17.4.3	0	0
17.5	0	451
17.5.1	261	281
17.5.1.1	17	17
17.5.1.2	3	3
17.5.1.1001	0	0
17.5.1.1002	0	0
17.5.2	146	146
17.5.3	24	24
17.6	0	99
17.6.1	19	70
